District,Building name,Last date of visit of the case(s),Related cases
Islands,Praya Street,16/07/2022,
Islands,"Block 5, Seaview Crescent",16/07/2022,
Islands,"Peaceful Mansion, Siena Two",16/07/2022,
Islands,Shek Tsai Po Street,16/07/2022,
Islands,"Block 2, Coastal Skyline",16/07/2022,
Islands,"Kam Ho Court, Treasure Bay",16/07/2022,
Islands,"Chun Chak House, Nga Ning Court",16/07/2022,
Islands,San Shek Wan Village,16/07/2022,
Islands,Tai Wan Old Village,15/07/2022,
Islands,Treasure Cove I,15/07/2022,
Islands,"Block B, Discovery Bay Golf Club Staff Quarter",15/07/2022,
Islands,Kau Yuk Road,15/07/2022,
Islands,Sun Ki Pang,15/07/2022,
Islands,"Tower 5, The Visionary",15/07/2022,
Islands,"Tower 5A, Century Link",15/07/2022,
Islands,Hoi Fuk Villa,15/07/2022,
Islands,Hoi Yuet Building,15/07/2022,
Islands,Lo Wai Village,15/07/2022,
Islands,Lai Chi Yuen,15/07/2022,
Islands,Fung Fan Path,15/07/2022,
Islands,Ko Long,15/07/2022,
Islands,"Tin Sing House, Lung Tin Estate",15/07/2022,
Islands,Tai Shek Hau Pun Shan,14/07/2022,
Islands,Regal Airport Hotel,14/07/2022,
Islands,"Crestmont Villa, Discovery Bay",14/07/2022,
Islands,"Positano, Discovery Bay",14/07/2022,
Islands,"Crestmont Villa, Peninsula Village, Discovery Bay",14/07/2022,
Islands,Sha Lo Wan Tsuen,14/07/2022,
Islands,"Block 3, Seaview Crescent",14/07/2022,
Islands,Self Help Care Village,14/07/2022,
Islands,Yu Yuet House,14/07/2022,
Islands,"Cheung King House, Cheung Kwai Estate",14/07/2022,
Islands,Ma Wan Chung Village,14/07/2022,
Islands,18 Chung Hing San Street,13/07/2022,
Islands,Tai Peng,13/07/2022,
Islands,27 Hillside Road,13/07/2022,
Islands,Chi Yan Lane,13/07/2022,
Islands,"Skyline Mansion, Discovery Bay",13/07/2022,
Islands,"Woodgreen Court, Parkvale Village, Discovery Bay",13/07/2022,
Islands,"The Premier, Chianti, Discovery Bay",13/07/2022,
Islands,"Greenland Court, Greenvale Village, Discovery Bay",13/07/2022,
Islands,96 San Hing Back Street,13/07/2022,
Islands,30 San Hing Street,13/07/2022,
Islands,"Tower 16, Crystal Cove, Caribbean Coast",13/07/2022,
Islands,Wang Tong,13/07/2022,
Islands,89 Wing On Street,13/07/2022,
Islands,Seaview Terrace,13/07/2022,
Islands,"Graceful Mansion, Siena Two",13/07/2022,
Islands,Peakville,13/07/2022,
Islands,Cheung Sha Ha Tsuen,13/07/2022,
Islands,Sheung Ling Pei Village,12/07/2022,
Islands,Monterey Villas,12/07/2022,
Islands,"9 Parkvale Drive, Parkvale Village, Discovery Bay",12/07/2022,
Islands,"Block 9, Tung Chung Crescent",12/07/2022,
Islands,Tsan Tuen Road,12/07/2022,
Islands,"Greenland Court, Greenvale Village",12/07/2022,
Islands,"Greenburg Court, Greenvale Village",12/07/2022,
Islands,"The Lustre, Chianti, Discovery Bay",11/07/2022,
Islands,61 Wing On Street,11/07/2022,
Islands,16 Wing Lung Street,11/07/2022,
Islands,"Cheung Fat House, Cheung Kwai Estate",11/07/2022,
Islands,Ham Tin Kau Tsuen,11/07/2022,
Islands,"Kam Hin House, Lung Hin Court",11/07/2022,
Kowloon City,Kowloon Chamber Of Commerce Building,24/07/2022,
Kowloon City,Mandarin Garden,24/07/2022,
Kowloon City,"Yee Man House, Ho Man Tin Estate",24/07/2022,
Kowloon City,"Sik Man House, Ho Man Tin Estate",24/07/2022,
Kowloon City,"Man Oi House, Chun Man Court",24/07/2022,
Kowloon City,"Man Lan House, Chun Man Court",24/07/2022,
Kowloon City,"Block B, Wei Chien Court, Wyler Gardens",24/07/2022,
Kowloon City,"Block G, Wei Chien Court, Wyler Gardens",24/07/2022,
Kowloon City,"Block E, Hang Chien Court, Wyler Gardens",24/07/2022,
Kowloon City,"Tower 1, Sky Tower",24/07/2022,
Kowloon City,"Tower 6, Sky Tower",24/07/2022,
Kowloon City,"Tower 7, Sky Tower",24/07/2022,
Kowloon City,Kiu Wai Mansion,24/07/2022,
Kowloon City,Kiu Wang Mansion,24/07/2022,
Kowloon City,Princess Terrace,24/07/2022,
Kowloon City,"Kwun Shing House, Kwun Tak Court",24/07/2022,
Kowloon City,Kwun Hei Court,24/07/2022,
Kowloon City,8A Pak Kung Street,24/07/2022,
Kowloon City,"Block 2, Royal Peninsula",24/07/2022,
Kowloon City,"Block 4, Royal Peninsula",24/07/2022,
Kowloon City,"Block 5, Royal Peninsula",24/07/2022,
Kowloon City,"Block 2, Harmony Garden",24/07/2022,
Kowloon City,"Hong Ching House, Kai Ching Estate",24/07/2022,
Kowloon City,"Yuet Ching House, Kai Ching Estate",24/07/2022,
Kowloon City,"Sheung Ching House, Kai Ching Estate",24/07/2022,
Kowloon City,To Kwa Wan Mansion,24/07/2022,
Kowloon City,"Tower 1, Ocean Waves, Victoria Skye",24/07/2022,
Kowloon City,"Block F, Honour Building",24/07/2022,
Kowloon City,"Ka Yee Lau, Ka Wai Chuen",24/07/2022,
Kowloon City,"Ka Hing Lau, Ka Wai Chuen",24/07/2022,
Kowloon City,"Ka Bong Lau, Ka Wai Chuen",24/07/2022,
Kowloon City,Full Yuet Court,24/07/2022,
Kowloon City,"Phase 1, Boland Court",24/07/2022,
Kowloon City,"Block 2, Balwin Court",24/07/2022,
Kowloon City,"Block 4, Balwin Court",24/07/2022,
Kowloon City,Hill Main Mansion,24/07/2022,
Kowloon City,Sung Lim Building,24/07/2022,
Kowloon City,7 Station Lane,24/07/2022,
Kowloon City,"Tak Shan House, Tak Long Estate",24/07/2022,
Kowloon City,"Tak Pui House, Tak Long Estate",24/07/2022,
Kowloon City,"Tak Kei House, Tak Long Estate",24/07/2022,
Kowloon City,"Tak Yu House, Tak Long Estate",24/07/2022,
Kowloon City,"Tak Sui House, Tak Long Estate",24/07/2022,
Kowloon City,"Tak Yiu House, Tak Long Estate",24/07/2022,
Kowloon City,"Tak Loong House, Tak Long Estate",24/07/2022,
Kowloon City,"Block A, Yee On Court",24/07/2022,
Kowloon City,Harrison Court,24/07/2022,
Kowloon City,Victory Building,24/07/2022,
Kowloon City,Hannover Court,24/07/2022,
Kowloon City,La Lumiere,24/07/2022,
Kowloon City,"Shun Man House, Oi Man Estate",24/07/2022,
Kowloon City,"Tun Man House, Oi Man Estate",24/07/2022,
Kowloon City,"Block B, Mountain Court",24/07/2022,
Kowloon City,"On Shun Building, 3D San Shan Road",24/07/2022,
Kowloon City,"Tower 1, Chatham Gate",24/07/2022,
Kowloon City,Bonavista Building,24/07/2022,
Kowloon City,3 Julia Avenue,24/07/2022,
Kowloon City,"Lok Oi Lau, Lok Man Sun Chuen",24/07/2022,
Kowloon City,1 Wing Yiu Street,24/07/2022,
Kowloon City,"Tower 1, Harbour Place",24/07/2022,
Kowloon City,"Tower 5, Harbour Place",24/07/2022,
Kowloon City,"Tower 10, Laguna Verde",24/07/2022,
Kowloon City,"Tower 17, Laguna Verde",24/07/2022,
Kowloon City,"Tower 20, Laguna Verde",24/07/2022,
Kowloon City,"Tower 25, Laguna Verde",24/07/2022,
Kowloon City,232 Chatham Road North,24/07/2022,
Kowloon City,"Tower H2, De Novo",24/07/2022,
Kowloon City,"Tower 2, Eresidence",24/07/2022,
Kowloon City,1 Lion Rock Road,24/07/2022,
Kowloon City,York Mansion,24/07/2022,
Kowloon City,Jumbo Court,24/07/2022,
Kowloon City,Sui Ying Industrial Building,24/07/2022,
Kowloon City,Timber House,24/07/2022,
Kowloon City,"Tower 10, One Beacon Hill",24/07/2022,
Kowloon City,Garfield Court,24/07/2022,
Kowloon City,"Block A, I-Feng Mansions",24/07/2022,
Kowloon City,"Block 10, Beverly Villas",24/07/2022,
Kowloon City,"Block 1, Beverly Villas",24/07/2022,
Kowloon City,"Block C, Palace Garden",24/07/2022,
Kowloon City,"Tower 1, Bailey Garden",24/07/2022,
Kowloon City,"Tower 2, Bailey Garden",24/07/2022,
Kowloon City,"Hung Yat House, Hung Hom Estate",24/07/2022,
Kowloon City,"Hung Yiu House, Hung Hom Estate",24/07/2022,
Kowloon City,123 Maidstone Road,24/07/2022,
Kowloon City,Maisy Building,24/07/2022,
Kowloon City,"Phase 1, Mei King Mansion",24/07/2022,
Kowloon City,"Phase 2, Mei King Mansion",24/07/2022,
Kowloon City,Merri Court,24/07/2022,
Kowloon City,"Fung Yi Court, United Building",24/07/2022,
Kowloon City,Windsor Court,24/07/2022,
Kowloon City,Yue Sun Mansion,24/07/2022,
Kowloon City,The Zutten,24/07/2022,
Kowloon City,Jade Court,24/07/2022,
Kowloon City,Loong King Mansion,24/07/2022,
Kowloon City,Ellery Terrace,24/07/2022,
Kowloon City,"Tower 2, The Astoria",24/07/2022,
Kowloon City,Avon Court,24/07/2022,
Kowloon City,Chermain Heights,24/07/2022,
Kowloon City,"Student Halls of Residence (Hung Hom), The Hong Kong Polytechnic University",24/07/2022,
Kowloon City,"Hibiscus House, Ma Tau Wai Estate",24/07/2022,
Kowloon City,"On Fu Building, Whampoa Estate",24/07/2022,
Kowloon City,"Block 5, Palm Mansions, Whampoa Garden",24/07/2022,
Kowloon City,"Block 6, Palm Mansions, Whampoa Garden",24/07/2022,
Kowloon City,"Block 4, Lily Mansions, Whampoa Garden",24/07/2022,
Kowloon City,"Block 1, Cotton Tree Mansions, Whampoa Garden",24/07/2022,
Kowloon City,"Block 7, Bauhinia Mansions, Whampoa Garden",24/07/2022,
Kowloon City,"Block 8, Bauhinia Mansions, Whampoa Garden",24/07/2022,
Kowloon City,"Block 1, Juniper Mansions, Whampoa Garden",24/07/2022,
Kowloon City,"Block 3, Juniper Mansions, Whampoa Garden",24/07/2022,
Kowloon City,"Block 11, Cherry Mansions, Whampoa Garden",24/07/2022,
Kowloon City,41 Lung Kong Road,24/07/2022,
Kowloon City,Downtown 38,23/07/2022,
Kowloon City,"Tower 3, One Homantin",23/07/2022,
Kowloon City,"Block B, The Crescent",23/07/2022,
Kowloon City,"Tim Man House, Ho Man Tin Estate",23/07/2022,
Kowloon City,"Choi Man House, Ho Man Tin Estate",23/07/2022,
Kowloon City,"Man Pan House, Chun Man Court",23/07/2022,
Kowloon City,"Tower 3, Sky Tower",23/07/2022,
Kowloon City,Kiu Shing Building,23/07/2022,
Kowloon City,Victory Building,23/07/2022,
Kowloon City,Check Bo House,23/07/2022,
Kowloon City,"Tower 3, The Zumurud",23/07/2022,
Kowloon City,Carmel-On-The-Hill,23/07/2022,
Kowloon City,"Lok Ching House, Kai Ching Estate",23/07/2022,
Kowloon City,"Yan Ching House, Kai Ching Estate",23/07/2022,
Kowloon City,"Mun Ching House, Kai Ching Estate",23/07/2022,
Kowloon City,"Kai Yiu House, Kai Long Court",23/07/2022,
Kowloon City,"Block 1A, K.Summit",23/07/2022,
Kowloon City,"Urban Villa 2, K.Summit",23/07/2022,
Kowloon City,Carlton Court,23/07/2022,
Kowloon City,Peace Garden,23/07/2022,
Kowloon City,"Ka On Lau, Ka Wai Chuen",23/07/2022,
Kowloon City,"Ka Wing Lau, Ka Wai Chuen",23/07/2022,
Kowloon City,Grandco Mansion,23/07/2022,
Kowloon City,"Block 2, Majestic Park",23/07/2022,
Kowloon City,Everwell Garden,23/07/2022,
Kowloon City,Kwong Fuk Building,23/07/2022,
Kowloon City,Billionnaire Avant,23/07/2022,
Kowloon City,Waterloo Heights Garden,23/07/2022,
Kowloon City,"Phase 2, Tak Wai Mansion",23/07/2022,
Kowloon City,"Tak Ying House, Tak Long Estate",23/07/2022,
Kowloon City,"Tak Cheung House, Tak Long Estate",23/07/2022,
Kowloon City,Tak Man Building,23/07/2022,
Kowloon City,"Phase 2, Harrison Court",23/07/2022,
Kowloon City,"Phase 5, Harrison Court",23/07/2022,
Kowloon City,Hang Shan Court,23/07/2022,
Kowloon City,"Tak Man House, Oi Man Estate",23/07/2022,
Kowloon City,"Chiu Man House, Oi Man Estate",23/07/2022,
Kowloon City,"Phase 1, Edwardian Heights",23/07/2022,
Kowloon City,Boundary Crest,23/07/2022,
Kowloon City,Sunshine Building,23/07/2022,
Kowloon City,"Block 2, Sun Shing Centre",23/07/2022,
Kowloon City,Manhattan Court,23/07/2022,
Kowloon City,"Block J, Chong Chien Court",23/07/2022,
Kowloon City,49 Cooke Street,23/07/2022,
Kowloon City,"Block B, Oriental Gardens",23/07/2022,
Kowloon City,"Lok Kei Lau, Lok Man Sun Chuen",23/07/2022,
Kowloon City,"Lok Tak Lau, Lok Man Sun Chuen",23/07/2022,
Kowloon City,"Lok Lun Lau, Lok Man Sun Chuen",23/07/2022,
Kowloon City,"Block 4, Cascades",23/07/2022,
Kowloon City,"Block 2, Jubilant Place",23/07/2022,
Kowloon City,"Tower 1, Harbourfront Landmark",23/07/2022,
Kowloon City,"Tower 3, Harbour Place",23/07/2022,
Kowloon City,"Tower 12A, Laguna Verde",23/07/2022,
Kowloon City,"Tower 15, Laguna Verde",23/07/2022,
Kowloon City,"Tower 1, Laguna Verde",23/07/2022,
Kowloon City,"Tower 21, Laguna Verde",23/07/2022,
Kowloon City,"Tower 5, Laguna Verde",23/07/2022,
Kowloon City,"Tower 6, Laguna Verde",23/07/2022,
Kowloon City,"Tower 1, Eresidence",23/07/2022,
Kowloon City,"Stage 2, Prince Apartments",23/07/2022,
Kowloon City,"Chi Chun Lau, Chun Seen Mei Chuen",23/07/2022,
Kowloon City,"Block B, Police Inspectorate Quarters",23/07/2022,
Kowloon City,"Block A, Fok Lin Building",23/07/2022,
Kowloon City,59-61 Fuk Wing Street,23/07/2022,
Kowloon City,"Tower 5, Stars by the Harbour",23/07/2022,
Kowloon City,Merry Mansion,23/07/2022,
Kowloon City,Maidstone Apartments,23/07/2022,
Kowloon City,102 Maidstone Road,23/07/2022,
Kowloon City,"Tower 1, Grand Waterfront",23/07/2022,
Kowloon City,Twilight Court,23/07/2022,
Kowloon City,"Lung To Court, United Building",23/07/2022,
Kowloon City,Luen Yip Building,23/07/2022,
Kowloon City,Wah Lai Building,23/07/2022,
Kowloon City,Marigold Mansion,23/07/2022,
Kowloon City,1T Lok Shan Road,23/07/2022,
Kowloon City,"Tower 2, Parc Regal",23/07/2022,
Kowloon City,18 Farm Road,23/07/2022,
Kowloon City,Peace Building,23/07/2022,
Kowloon City,Kam Tong Building,23/07/2022,
Kowloon City,"Block 2, Sunshine Plaza",23/07/2022,
Kowloon City,"Block 2, The Arcadia",23/07/2022,
Kowloon City,Metropark Hotel Kowloon Hong Kong,23/07/2022,
Kowloon City,124 Ma Tau Wai Road,23/07/2022,
Kowloon City,Hung Fook Court,23/07/2022,
Kowloon City,28 Pang Ching Street,23/07/2022,
Kowloon City,21 Luk Ming Street,23/07/2022,
Kowloon City,23 Lun Cheung Street,23/07/2022,
Kowloon City,"Ka Fu Building, Whampoa Estate",23/07/2022,
Kowloon City,"Wing Fu Building, Whampoa Estate",23/07/2022,
Kowloon City,"Wing Wing Building, Whampoa Estate",23/07/2022,
Kowloon City,"Block 5, Bauhinia Mansions, Whampoa Garden",23/07/2022,
Kowloon City,"Block 6, Bauhinia Mansions, Whampoa Garden",23/07/2022,
Kowloon City,"Block 1, Banyan Mansions, Whampoa Garden",23/07/2022,
Kowloon City,"Block 5, Bamboo Mansions, Whampoa Garden",23/07/2022,
Kowloon City,"Block 1, Cherry Mansions, Whampoa Garden",23/07/2022,
Kowloon City,"Block 1, Oak Mansions, Whampoa Garden",23/07/2022,
Kowloon City,"Block 9, Oak Mansions, Whampoa Garden",23/07/2022,
Kowloon City,5 Lung Kong Road,23/07/2022,
Kowloon City,"Tower 5, Oasis Kai Tak",22/07/2022,
Kowloon City,The Grand Blossom,22/07/2022,
Kowloon City,13 Sheung Heung Road,22/07/2022,
Kowloon City,Chung Hwa Building,22/07/2022,
Kowloon City,Harbour Grand Kowloon,22/07/2022,
Kowloon City,No.1 Ho Man Tin Hill,22/07/2022,
Kowloon City,"King Man House, Ho Man Tin Estate",22/07/2022,
Kowloon City,"Yat Man House, Ho Man Tin Estate",22/07/2022,
Kowloon City,"Ching Man House, Ho Man Tin Estate",22/07/2022,
Kowloon City,"Man Hor House, Chun Man Court",22/07/2022,
Kowloon City,"Tower 2, Sky Tower",22/07/2022,
Kowloon City,Seven Victory Avenue,22/07/2022,
Kowloon City,27 Celestial Heights,22/07/2022,
Kowloon City,Hip Fai Building,22/07/2022,
Kowloon City,Co-Tack Building,22/07/2022,
Kowloon City,"Tower 2A, K.Summit",22/07/2022,
Kowloon City,Grandview Garden,22/07/2022,
Kowloon City,Gartin Court,22/07/2022,
Kowloon City,Gar Fook Court,22/07/2022,
Kowloon City,44 South Wall Road,22/07/2022,
Kowloon City,Crayon Building,22/07/2022,
Kowloon City,Tien Hung Building,22/07/2022,
Kowloon City,"Tower 5, Ultima",22/07/2022,
Kowloon City,Peace Mansion,22/07/2022,
Kowloon City,"Block A, Honour Building",22/07/2022,
Kowloon City,"Tower B, Po Teck Mansion",22/07/2022,
Kowloon City,"Block 5, Balwin Court",22/07/2022,
Kowloon City,"Tower 2, Upper Riverbank",22/07/2022,
Kowloon City,Perfect Mansion,22/07/2022,
Kowloon City,"Sun Man House, Oi Man Estate",22/07/2022,
Kowloon City,"Lai Man House, Oi Man Estate",22/07/2022,
Kowloon City,"Block F, Albion Gardens",22/07/2022,
Kowloon City,Sun Yuet House,22/07/2022,
Kowloon City,Sunrise Villa,22/07/2022,
Kowloon City,Cheong Shing Court,22/07/2022,
Kowloon City,Tung Hing Building,22/07/2022,
Kowloon City,Champion Court,22/07/2022,
Kowloon City,Padek Palace,22/07/2022,
Kowloon City,"Block 3, Kent Court",22/07/2022,
Kowloon City,Wing Fai Mansion,22/07/2022,
Kowloon City,"Block 1, Cascades",22/07/2022,
Kowloon City,1 Cornwall Street,22/07/2022,
Kowloon City,"Tower 7, Harbour Place",22/07/2022,
Kowloon City,"Tower 22, Laguna Verde",22/07/2022,
Kowloon City,"Tower 2, Laguna Verde",22/07/2022,
Kowloon City,Bayview,22/07/2022,
Kowloon City,93 Pau Chung Street,22/07/2022,
Kowloon City,"Tower 2, One Beacon Hill",22/07/2022,
Kowloon City,"Tower 2, Mantin Heights",22/07/2022,
Kowloon City,"Tower 5, Mantin Heights",22/07/2022,
Kowloon City,"Block B, I-Feng Mansions",22/07/2022,
Kowloon City,Emma Place,22/07/2022,
Kowloon City,"Block G, Phoenix Court",22/07/2022,
Kowloon City,Fook Chi Building,22/07/2022,
Kowloon City,Fook Chi Building,22/07/2022,
Kowloon City,"Block 1, Hunghom Gardens",22/07/2022,
Kowloon City,Mai Lok Building,22/07/2022,
Kowloon City,"Tower 2, Grand Waterfront",22/07/2022,
Kowloon City,High Field House,22/07/2022,
Kowloon City,Hing Bank Building,22/07/2022,
Kowloon City,"Tower 1, Parc Regal",22/07/2022,
Kowloon City,"Tower 1, The Astoria",22/07/2022,
Kowloon City,71-73 Ma Tau Wai Road,22/07/2022,
Kowloon City,Dominion Court,22/07/2022,
Kowloon City,Go Go Court,22/07/2022,
Kowloon City,"Kai Kwai Building, Whampoa Estate",22/07/2022,
Kowloon City,"Lok Wah Building, Whampoa Estate",22/07/2022,
Kowloon City,"Wing Kwai Building, Whampoa Estate",22/07/2022,
Kowloon City,"Block 3, Palm Mansions, Whampoa Garden",22/07/2022,
Kowloon City,"Block 2, Lily Mansions, Whampoa Garden",22/07/2022,
Kowloon City,"Block 15, Cherry Mansions, Whampoa Garden",22/07/2022,
Kowloon City,"Block 6, Cherry Mansions, Whampoa Garden",22/07/2022,
Kowloon City,26 Lung Kong Road,22/07/2022,
Kowloon City,Lung Cheung Court,22/07/2022,
Kowloon City,"Tower 1B, Vibe Centro",22/07/2022,
Kowloon City,"Tower 1, One Homantin",21/07/2022,
Kowloon City,Lucky Building,21/07/2022,
Kowloon City,"Block E, Wei Chien Court, Wyler Gardens",21/07/2022,
Kowloon City,"Block J, Chong Chien Court, Wyler Gardens",21/07/2022,
Kowloon City,Kiu Yuen Mansion,21/07/2022,
Kowloon City,Kadoorie Avenue Mansion,21/07/2022,
Kowloon City,11 Celestial Heights,21/07/2022,
Kowloon City,"Tower 1, One Kai Tak",21/07/2022,
Kowloon City,"Block 5, Phase 2, One Kai Tak",21/07/2022,
Kowloon City,"Tower 5, One Kai Tak",21/07/2022,
Kowloon City,"Tower 8, K.City",21/07/2022,
Kowloon City,"Block B, Grandview Garden",21/07/2022,
Kowloon City,Rockford Mansion,21/07/2022,
Kowloon City,Ka Wah Court,21/07/2022,
Kowloon City,25 To Kwa Wan Road,21/07/2022,
Kowloon City,5 To Kwa Wan Road,21/07/2022,
Kowloon City,"Block A, The Dahfuldy",21/07/2022,
Kowloon City,"Block 3, Star Waves, Victoria Skye",21/07/2022,
Kowloon City,"Tower 6, Ultima",21/07/2022,
Kowloon City,"Ka Ting Lau, Ka Wai Chuen",21/07/2022,
Kowloon City,"Block 2, Boland Court",21/07/2022,
Kowloon City,Braemar Court,21/07/2022,
Kowloon City,"Tower 1, Upper Riverbank",21/07/2022,
Kowloon City,Sung Yee Building,21/07/2022,
Kowloon City,Ling Nam Building,21/07/2022,
Kowloon City,The Colonnades,21/07/2022,
Kowloon City,Tak Shing Mansion,21/07/2022,
Kowloon City,"Kin Man House, Oi Man Estate",21/07/2022,
Kowloon City,"Chung Man House, Oi Man Estate",21/07/2022,
Kowloon City,Crystal Mansion,21/07/2022,
Kowloon City,9 College Road,21/07/2022,
Kowloon City,Tung Po Building,21/07/2022,
Kowloon City,11 Soares Avenue,21/07/2022,
Kowloon City,City Hub,21/07/2022,
Kowloon City,Helena Garden,21/07/2022,
Kowloon City,"Tower 12, Laguna Verde",21/07/2022,
Kowloon City,"Tower 16, Laguna Verde",21/07/2022,
Kowloon City,Chat Ma Building,21/07/2022,
Kowloon City,"Tower 5, One Beacon Hill",21/07/2022,
Kowloon City,"Tower 1, Mantin Heights",21/07/2022,
Kowloon City,"Chi Seen Lau, Chun Seen Mei Chuen",21/07/2022,
Kowloon City,The Homestead,21/07/2022,
Kowloon City,"Hung Fook Court, Hunghom Bay Centre",21/07/2022,
Kowloon City,"Hung Hing Court, Hunghom Bay Centre",21/07/2022,
Kowloon City,"Tower 2, Stars By The Harbour",21/07/2022,
Kowloon City,"Tower 3, Stars By The Harbour",21/07/2022,
Kowloon City,25 Mei King Street,21/07/2022,
Kowloon City,"Yin On Court, United Building",21/07/2022,
Kowloon City,14 Hing Yin Street,21/07/2022,
Kowloon City,Wah Keung Building,21/07/2022,
Kowloon City,74 Nga Tsin Long Road,21/07/2022,
Kowloon City,Goldfield Mansion,21/07/2022,
Kowloon City,"Narcissus House, Ma Tau Wai Estate",21/07/2022,
Kowloon City,"Geranium House, Ma Tau Wai Estate",21/07/2022,
Kowloon City,"Ho Fu Building, Whampoa Estate",21/07/2022,
Kowloon City,"On Wah Building, Whampoa Estate",21/07/2022,
Kowloon City,"Lok Fu Building, Whampoa Estate",21/07/2022,
Kowloon City,"Yuen Wah Building, Whampoa Estate",21/07/2022,
Kowloon City,"Block 2, Palm Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Block 5, Lily Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Block 6, Lily Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Block 7, Lily Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Block 8, Lily Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Block 5, Cotton Tree Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Block 2, Bauhinia Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Block 3, Bauhinia Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Block 5, Banyan Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Block 3, Willow Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Block 1, Bamboo Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Block 7, Bamboo Mansions, Whampoa Garden",21/07/2022,
Kowloon City,"Tower 1A, Vibe Centro",21/07/2022,
Kowloon City,"Tower 2, Homantin Hillside",20/07/2022,
Kowloon City,"Nga Man House, Ho Man Tin Estate",20/07/2022,
Kowloon City,"Man Hoi House, Chun Man Court",20/07/2022,
Kowloon City,"Man Chung House, Chun Man Court",20/07/2022,
Kowloon City,"Man Fuk House, Chun Man Court",20/07/2022,
Kowloon City,"Block A, Wei Chien Court, Wyler Gardens",20/07/2022,
Kowloon City,"Block D, Wei Chien Court, Wyler Gardens",20/07/2022,
Kowloon City,"Block F, Hang Chien Court, Wyler Gardens",20/07/2022,
Kowloon City,"Block G, Hang Chien Court, Wyler Gardens",20/07/2022,
Kowloon City,"Kwun Cheong House, Kwun Tak Court",20/07/2022,
Kowloon City,Cambridge Court,20/07/2022,
Kowloon City,21 Celestial Heights,20/07/2022,
Kowloon City,South Court,20/07/2022,
Kowloon City,5 Nam Kok Road,20/07/2022,
Kowloon City,"Tower 3, Phase 2, One Kai Tak",20/07/2022,
Kowloon City,55 Kai Tak Road,20/07/2022,
Kowloon City,"Kai Yat House, Kai Long Court",20/07/2022,
Kowloon City,"Tower 9, K.City",20/07/2022,
Kowloon City,"Tower 3, Ocean Waves, Victoria Skye",20/07/2022,
Kowloon City,"Tower 8, Ultima",20/07/2022,
Kowloon City,Po Sing Court,20/07/2022,
Kowloon City,"Block B, Lux Theatre Building",20/07/2022,
Kowloon City,"Block 3, Balwin Court",20/07/2022,
Kowloon City,Shung Wah Court,20/07/2022,
Kowloon City,"Ilford Court, Perth Garden",20/07/2022,
Kowloon City,5 Chung Sun Street,20/07/2022,
Kowloon City,"Phase 4, Harrison Court",20/07/2022,
Kowloon City,"Po Man House, Oi Man Estate",20/07/2022,
Kowloon City,Man Yuen Mansion,20/07/2022,
Kowloon City,Sin Hua Mansion,20/07/2022,
Kowloon City,7 Ming Lun Street,20/07/2022,
Kowloon City,Wing Wo Building,20/07/2022,
Kowloon City,"Block 1, Horae Place",20/07/2022,
Kowloon City,"Tower 2, Harbour Place",20/07/2022,
Kowloon City,"Tower 3, Laguna Verde",20/07/2022,
Kowloon City,Artisan Garden,20/07/2022,
Kowloon City,"Tower 8, Mantin Heights",20/07/2022,
Kowloon City,"Block 1, Merry Court",20/07/2022,
Kowloon City,"Block C, Police Inspectorate Quarters",20/07/2022,
Kowloon City,Belvedere Heights,20/07/2022,
Kowloon City,15 Hing Yan Street,20/07/2022,
Kowloon City,Kingsgate,20/07/2022,
Kowloon City,Richland House,20/07/2022,
Kowloon City,Man Kee Mansion,20/07/2022,
Kowloon City,"Block E-H, Man Kee Mansion",20/07/2022,
Kowloon City,The Met. Focus,20/07/2022,
Kowloon City,"Jockey Club Wing, Student Halls Of Residence, The Hong Kong Polytechnic University",20/07/2022,
Kowloon City,5 Ma Hang Chung Road,20/07/2022,
Kowloon City,25 Hung Wan Street,20/07/2022,
Kowloon City,"King Wing Building, Whampoa Estate",20/07/2022,
Kowloon City,"Block 9, Lily Mansions, Whampoa Garden",20/07/2022,
Kowloon City,"Block 1, Willow Mansions, Whampoa Garden",20/07/2022,
Kowloon City,"Block 12, Cherry Mansions, Whampoa Garden",20/07/2022,
Kowloon City,"Block 8, Oak Mansions, Whampoa Garden",20/07/2022,
Kowloon City,"Tower 2, Oasis Kai Tak",19/07/2022,
Kowloon City,Sky Garden,19/07/2022,
Kowloon City,Elizabethan Court,19/07/2022,
Kowloon City,26 Celestial Heights,19/07/2022,
Kowloon City,"Block 3, Royal Peninsula",19/07/2022,
Kowloon City,"Kai Yeung House, Kai Long Court",19/07/2022,
Kowloon City,"Tower 5, K.City",19/07/2022,
Kowloon City,Gallant Villa,19/07/2022,
Kowloon City,Cambridge Heights,19/07/2022,
